"filing_date","form_type","doc_link","cik_code","series_num","tickers"
"2013-03-22","497K","http://www.sec.gov/Archives/edgar/data/1423227/000095012313001751/y30329a1e497k.htm","1423227","S000030658",","
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/858372/000008805313000306/nq013113cat_gas.htm","858372","S000006301","CAGXX,CAAXX,CDGXX,CDPXX,DTGXX,DBBXX,DCMXX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/858372/000008805313000307/nq013113cat_mm.htm","858372","S000006302","CAMXX,CAQXX,CSAXX,CSPXX,CXPXX,CSDXX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/858372/000008805313000308/nq013112cat_te.htm","858372","S000006303","CABXX,CHDXX,SCIXX,CHSXX,TXMXX,DTBXX,DTCXX,DTDXX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/860489/000008805313000309/nq013113cerf.htm","860489","",""
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/1093439/000119312513121633/d507481dnq.htm","1093439","S000009298S000009299S000030336","CSMVX,CSMCX,CENVX,CENSX,CGOIX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/1359768/000110465913023247/a13-8020_1nq.htm","1359768","S000012753",",,"
"2013-03-22","485APOS","http://www.sec.gov/Archives/edgar/data/1547679/000116204413000331/dms485apos201303.htm","1547679","S000040956",""
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/887590/000008805313000316/nq013113ghi_inc.htm","887590","",""
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/793597/000008805313000312/nq013113egb.htm","793597","S000005467","SZGAX,SZGBX,SZGCX,SSTGX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/793597/000008805313000314/nq013113emfi.htm","793597","S000005466","SZEAX,SZEBX,SZECX,SCEMX,SZEIX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/793597/000008805313000319/nq013113gscg.htm","793597","S000005468","KGDAX,KGDBX,KGDCX,SGSCX,KGDIX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/747677/000008805313000310/nq013113cfi.htm","747677","S000031158","SFXAX,SFXBX,SFXCX,SFXRX,SFXSX,MFINX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/747677/000008805313000315/nq013113ghi.htm","747677","S000031157","SGHAX,SGHBX,SGHCX,SGHSX,MGHYX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/747677/000008805313000321/nq013113sgs.htm","747677","S000031155","KUSAX,KUSBX,KUSCX,KUSMX,KUSIX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/747677/000008805313000324/nq013113uif.htm","747677","S000031156","KSTAX,KSTBX,KSTCX,KSTSX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/747677/000008805313000325/nq013113usd.htm","747677","S000031159","SDUAX,SDUBX,SDUCX,SDUSX,MGSFX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/88053/000008805313000311/nq013113die.htm","88053","S000031160","DBISX,DBIBX,DBICX,DBITX,DBIVX,MGINX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/88053/000008805313000313/nq013113eme.htm","88053","S000006028","SEKAX,SEKBX,SEKCX,SEMGX,SEKIX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/88053/000008805313000320/nq013113laef.htm","88053","S000006031","SLANX,SLAOX,SLAPX,SLAFX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/88053/000008805313000326/nq013113wdf.htm","88053","S000006029","SERAX,SERBX,SERCX,SCGEX,SERNX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/95603/000008805313000317/nq013113gib.htm","95603","S000006138","KTRAX,KTRBX,KTRCX,KTRSX,KTRIX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/203142/000008805313000322/nq013113stmb.htm","203142","S000031144","SRMAX,SRMBX,SRMCX,SRMSX,MGSMX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/88048/000008805313000318/nq013113gol.htm","88048","S000031521","SGDAX,SGDBX,SGDCX,SCGDX,SGDIX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/88048/000008805313000323/nq013113tech.htm","88048","S000031522","KTCIX,KTCAX,KTCBX,KTCCX,KTCSX"
"2013-03-22","497K","http://www.sec.gov/Archives/edgar/data/1365151/000153442413000134/rhf13-0572.htm","1365151","S000038129",",,"
"2013-03-22","497K","http://www.sec.gov/Archives/edgar/data/1365151/000153442413000136/rhf13-0573.htm","1365151","S000040097",",,"
"2013-03-22","497K","http://www.sec.gov/Archives/edgar/data/1365151/000153442413000138/rhf13-0574.htm","1365151","S000026154","JOHIX,JOHAX"
"2013-03-22","N-Q","http://www.sec.gov/Archives/edgar/data/745968/000131814813000617/form.htm","745968","S000009728S000009729S000009730S000009732S000009733S000009734S000019678","FEDEX,CPABX,CPACX,CPAKX,,KAUAX,KAUBX,KAUCX,KAUFX,FKASX,FKBSX,FKCSX,FKKSX,FMAAX,FMBBX,FMRCX,FMIIX,FGSAX,FGSBX,FGSCX,FGSKX,FGSIX,SVAAX,SVACX,SVAIX,KLCAX,KLCCX,KLCKX,KLCIX"
"2013-03-22","497K","http://www.sec.gov/Archives/edgar/data/879569/000131814813000600/form.htm","879569","S000009739","STIAX,SINBX,SINCX,STFSX,STISX"
