"cik_code","form_type","doc_link","com_link","filing_date"
"3794","497K","http://www.sec.gov/Archives/edgar/data/3794/000119312513119743/d503258d497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=3794","2013-03-21"
"717316","485APOS","http://www.sec.gov/Archives/edgar/data/717316/000071731609000030/pea45-2009.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=717316","2009-10-21"
"1547625","N-Q","http://www.sec.gov/Archives/edgar/data/1547625/000092242313000108/kl03045.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1547625","2013-03-21"
"881773","497K","http://www.sec.gov/Archives/edgar/data/881773/000088177313000022/dreyfusglobalrealesta-520132.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=881773","2013-03-21"
"716792","497K","http://www.sec.gov/Archives/edgar/data/716792/000089843213000547/a497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=716792","2013-03-21"
"716792","497K","http://www.sec.gov/Archives/edgar/data/716792/000089843213000548/a497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=716792","2013-03-21"
"716792","497K","http://www.sec.gov/Archives/edgar/data/716792/000089843213000549/a497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=716792","2013-03-21"
"716792","497K","http://www.sec.gov/Archives/edgar/data/716792/000089843213000550/a497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=716792","2013-03-21"
"716792","497K","http://www.sec.gov/Archives/edgar/data/716792/000089843213000551/a497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=716792","2013-03-21"
"716792","497K","http://www.sec.gov/Archives/edgar/data/716792/000089843213000552/a497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=716792","2013-03-21"
"716792","497K","http://www.sec.gov/Archives/edgar/data/716792/000089843213000553/a497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=716792","2013-03-21"
"716792","497K","http://www.sec.gov/Archives/edgar/data/716792/000089843213000554/a497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=716792","2013-03-21"
"716792","497K","http://www.sec.gov/Archives/edgar/data/716792/000089843213000555/a497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=716792","2013-03-21"
"716792","497K","http://www.sec.gov/Archives/edgar/data/716792/000089843213000556/a497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=716792","2013-03-21"
"716792","497K","http://www.sec.gov/Archives/edgar/data/716792/000089843213000557/a497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=716792","2013-03-21"
"716792","497K","http://www.sec.gov/Archives/edgar/data/716792/000089843213000558/a497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=716792","2013-03-21"
"716792","497K","http://www.sec.gov/Archives/edgar/data/716792/000089843213000559/a497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=716792","2013-03-21"
"716792","497K","http://www.sec.gov/Archives/edgar/data/716792/000089843213000560/a497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=716792","2013-03-21"
"1364608","485APOS","http://www.sec.gov/Archives/edgar/data/1364608/000144554610000428/etf2_485a.txt","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1364608","2010-01-22"
"891079","497K","http://www.sec.gov/Archives/edgar/data/891079/000119312513119693/d507394d497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=891079","2013-03-21"
"357238","497K","http://www.sec.gov/Archives/edgar/data/357238/000095012313001699/b91311a1e497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=357238","2013-03-21"
"357238","497K","http://www.sec.gov/Archives/edgar/data/357238/000095012313001701/b91311a2e497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=357238","2013-03-21"
"45288","497K","http://www.sec.gov/Archives/edgar/data/45288/000095012313001702/b91304a1e497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=45288","2013-03-21"
"45288","497K","http://www.sec.gov/Archives/edgar/data/45288/000095012313001703/b91305a1e497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=45288","2013-03-21"
"45288","497K","http://www.sec.gov/Archives/edgar/data/45288/000095012313001704/b91306a1e497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=45288","2013-03-21"
"45288","497K","http://www.sec.gov/Archives/edgar/data/45288/000095012313001705/b91303a1e497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=45288","2013-03-21"
"1037897","497K","http://www.sec.gov/Archives/edgar/data/1037897/000119312513119408/d505623d497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1037897","2013-03-21"
"1037897","497K","http://www.sec.gov/Archives/edgar/data/1037897/000119312513119421/d505647d497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1037897","2013-03-21"
"1037897","497K","http://www.sec.gov/Archives/edgar/data/1037897/000119312513119433/d505675d497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1037897","2013-03-21"
"880366","485APOS","http://www.sec.gov/Archives/edgar/data/880366/000119312513118623/d493111d485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=880366","2013-03-21"
"880366","485APOS","http://www.sec.gov/Archives/edgar/data/880366/000119312513119299/d502661d485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=880366","2013-03-21"
"1137360","497K","http://www.sec.gov/Archives/edgar/data/1137360/000093041313001772/c72559_497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1137360","2013-03-21"
"1071336","497K","http://www.sec.gov/Archives/edgar/data/1071336/000119312513118856/d505814d497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1071336","2013-03-21"
"722885","485APOS","http://www.sec.gov/Archives/edgar/data/722885/000072288513000030/riskparityafiling3192013.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=722885","2013-03-21"
"1283381","N-Q","http://www.sec.gov/Archives/edgar/data/1283381/000111183013000248/fp0006809_nq.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1283381","2013-03-21"
